province,region,constituencies,folder_id,file_count,total_bytes,total_human,per_constituency_bytes,anomalies,error
ปัตตานี,ภาคใต้,5,1_y3m72ukRQM1kTa5XPR_qiQC6foLci5a,2633,5237811769,4.88 GB,1047562353,,
พระนครศรีอยุธยา,ภาคกลาง,5,11kxwA_elo8-IzYgFyyxplpFymLlqz3eY,1557,5006584067,4.66 GB,1001316813,,
ราชบุรี,ภาคตะวันตก,5,1cbnTDoiRs1_BB60kx2nNlbUKkByOfNPI,1614,4735332568,4.41 GB,947066513,,
ยะลา,ภาคใต้,3,1GWDOvgZI4njIepaFVQ-skYZ7LUxF-ylT,1479,4503349710,4.19 GB,1501116570,,
ประจวบคีรีขันธ์,ภาคตะวันตก,3,1pV61BgH_CEOM-ETOvssJcYJBrjsiNuuV,1506,4175605116,3.89 GB,1391868372,,
อุตรดิตถ์,ภาคเหนือ,3,1GBBRBIh-EmpHNwRXIoL8NYeftv6a-Zf2,1582,4163553067,3.88 GB,1387851022,,
นครพนม,ภาคอีสาน,4,11VfP-Cst29ZKdRSS7kj9g7IgxMKdUyNK,1153,4111666912,3.83 GB,1027916728,,
แพร่,ภาคเหนือ,3,1wD2ICNJHLhW0UaisZpW8ie49RC8Ba50v,1655,4103439899,3.82 GB,1367813299,,
นราธิวาส,ภาคใต้,5,1XRZIqhC4n6JEYCnON868am2pP4vMByE1,1709,3948869018,3.68 GB,789773803,,
ลพบุรี,ภาคกลาง,4,1UdK2NnBS1b_g_F4NciQuCgZHAZusI370,2170,3908231022,3.64 GB,977057755,,
เชียงราย,ภาคเหนือ,7,1w6ExwHN1c2qakXqUxAh7KmTJmZT-SSOo,284,3876964334,3.61 GB,553852047,,
มุกดาหาร,ภาคอีสาน,2,17r8Me6sljlN1NC7er3skOZfpbV1w4aE0,1261,3849860359,3.59 GB,1924930179,,
น่าน,ภาคเหนือ,3,1Qxfkwmm98At95sWBoMStaYaUvGNh6jxd,173,3644948743,3.39 GB,1214982914,,
สุโขทัย,ภาคเหนือ,4,1vDNUdsIBQUVVe1wX2sRfs-hzJ6g_eAkn,1966,3597986097,3.35 GB,899496524,,
ฉะเชิงเทรา,ภาคตะวันออก,4,1lHFX-tgeHOqAOSPIrkKx8-uIr9RZFIUB,330,3537786930,3.29 GB,884446732,,
เพชรบุรี,ภาคตะวันตก,3,1rLzQX8s86Dy5-gkSoaMr-fGfHOfyKOMj,1540,3486856536,3.25 GB,1162285512,,
ตรัง,ภาคใต้,4,1bQiDrKRbJ9seMVA6XlUhRFUw5sRMovrz,738,3431967651,3.20 GB,857991912,,
กำแพงเพชร,ภาคเหนือ,4,1YFrEvow3-HwkcosJuXNeI82DL1WSrK_S,1559,3423779548,3.19 GB,855944887,,
กระบี่,ภาคใต้,3,1jG2TcSJVrmvOacW0kMaDaVzrU2wM6Quc,90,3421114320,3.19 GB,1140371440,,
ระยอง,ภาคตะวันออก,5,1uBC1GjNS_kmgemnO8HPZHO43oeNu1t1U,2002,3368993421,3.14 GB,673798684,,
ตาก,ภาคเหนือ,3,19vRSFjNCdHx2SqCb1fpWqC1UguoTmCNx,1037,2955762478,2.75 GB,985254159,,
พิษณุโลก,ภาคเหนือ,5,1I28S5sE3JOsbux5zk3oXp2gEe58-TpQ5,2777,2916781356,2.72 GB,583356271,,
อ่างทอง,ภาคกลาง,2,1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc,1002,2875750130,2.68 GB,1437875065,duplicate_folder_id,
นครปฐม,ภาคกลาง,6,1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc,1002,2875750130,2.68 GB,479291688,duplicate_folder_id,
ตราด,ภาคตะวันออก,1,1XLFjavED1BW_AG4xBDh5BfI6VQHv30_x,680,2710345636,2.52 GB,2710345636,,
อุทัยธานี,ภาคเหนือ,2,1AEsdI9srCecTof5DeIAs9vYUay4KSzVH,1851,2556481967,2.38 GB,1278240983,,
ลำพูน,ภาคเหนือ,2,1nTVc_RgxSJIAHN2Zk3Y6KEbCteobL_bH,1884,2252518925,2.10 GB,1126259462,,
ชุมพร,ภาคใต้,3,1Hhtc2g_Tr5cWt4mVeSKgx6GbP1ZpT85k,1670,2079043469,1.94 GB,693014489,,
สิงห์บุรี,ภาคกลาง,1,1SXJtGFdXWj5vptFftBaXYB0DRLKpRz2J,658,2010323429,1.87 GB,2010323429,,
ชัยนาท,ภาคกลาง,2,1UUm2NLLCM-2hwZ0-GyJ5FqP4-Kk2tBnx,751,1670432483,1.56 GB,835216241,,
